Modo	m	n	Frequencia_de_corte_GHz
TE	0	1	11.474130838932998
TM	0	1	11.474130838932998
TE	1	1	18.282363246648188
TM	1	1	18.282363246648188
TE	2	1	24.503720199777241
TM	2	1	24.503720199777241
TM	0	2	26.338302413503847
TE	0	2	26.338302413503847
TE	3	1	30.442136384963540
TM	3	1	30.442136384963540
TE	1	2	33.473849099142690
TM	1	2	33.473849099142690
TM	4	1	36.206398471837687
TE	4	1	36.206398471837687
TE	2	2	40.161366474329185
TM	2	2	40.161366474329185
TE	0	3	41.289789604488725
TM	0	3	41.289789604488725
TM	5	1	41.851854064246844
TE	5	1	41.851854064246844
TM	3	2	46.573100099311780
TE	3	2	46.573100099311780
TM	6	1	47.408562636694178
TE	6	1	47.408562636694178
TM	1	3	48.541279977497034
TE	1	3	48.541279977497034
TM	4	2	52.793502783408989
TE	4	2	52.793502783408989
TE	7	1	52.897040973364426
TM	7	1	52.897040973364426
TE	2	3	55.442076481301420
TM	2	3	55.442076481301420
TE	0	4	56.261316445142405
TM	0	4	56.261316445142405
TE	8	1	58.330171706187535
TM	8	1	58.330171706187535
TM	5	2	58.871719381760933
TE	5	2	58.871719381760933
TE	3	3	62.100011516500651
TM	3	3	62.100011516500651
TE	1	4	63.571971498125244
TM	1	4	63.571971498125244
TE	9	1	63.717974659997893
TM	9	1	63.717974659997893
TM	6	2	64.839240772418577
TE	6	2	64.839240772418577
TM	4	3	68.576158301132963
TE	4	3	68.576158301132963
TE	10	1	69.067606852534368
TM	10	1	69.067606852534368
TM	2	4	70.596822976069788
TE	2	4	70.596822976069788
TE	7	2	70.717538008598495
TM	7	2	70.717538008598495
TM	0	5	71.240477438050860
TE	0	5	71.240477438050860
TE	5	3	74.911073269051855
TM	5	3	74.911073269051855
TE	8	2	76.523787932873930
TM	8	2	76.523787932873930
TE	3	4	77.407918190880537
TM	3	4	77.407918190880537
TM	1	5	78.586917579727981
TE	1	5	78.586917579727981
TM	6	3	81.130998818633117
TE	6	3	81.130998818633117
TM	9	2	82.272304580722576
TE	9	2	82.272304580722576
TE	4	4	84.051539190602057
TM	4	4	84.051539190602057
TM	2	5	85.692404790863634
TE	2	5	85.692404790863634
TE	0	6	86.223455507086712
TM	0	6	86.223455507086712
TE	7	3	87.256451734061514
TM	7	3	87.256451734061514
TE	10	2	87.974062046010744
TM	10	2	87.974062046010744
TE	5	4	90.674166271622937
TM	5	4	90.674166271622937
TE	3	5	92.608946733693514
TM	3	5	92.608946733693514
TE	8	3	93.301268916298781
TM	8	3	93.301268916298781
TE	1	6	93.594229509075930
TM	1	6	93.594229509075930
TM	6	4	96.957550711822051
TE	6	4	96.957550711822051
TM	9	3	99.277378728243050
TE	9	3	99.277378728243050
TE	4	5	99.372328496911862
TM	4	5	99.372328496911862
TM	2	6	100.756495727606506
TE	2	6	100.756495727606506
TE	0	7	101.207864979670333
TM	0	7	101.207864979670333
TE	7	4	103.149325324963840
TM	7	4	103.149325324963840
TE	10	3	105.194800994728709
TM	10	3	105.194800994728709
TE	5	5	106.435350736130331
TM	5	5	106.435350736130331
TM	3	6	107.749856327500098
TE	3	6	107.749856327500098
TE	1	7	108.596292958748720
TM	1	7	108.596292958748720
TM	8	4	109.253784321691569
TE	8	4	109.253784321691569
TM	6	5	113.007401558463272
TE	6	5	113.007401558463272
TE	4	6	114.602939379712112
TM	4	6	114.602939379712112
TE	9	4	115.307667059731401
TM	9	4	115.307667059731401
TM	2	7	115.801024149196508
TE	2	7	115.801024149196508
TE	0	8	116.194182990317628
TM	0	8	116.194182990317628
TE	7	5	119.388598574426751
TM	7	5	119.388598574426751
TM	10	4	121.316222018758481
TE	10	4	121.316222018758481
TM	5	6	121.638764951522901
TE	5	6	121.638764951522901
TE	3	7	122.853549429064643
TM	3	7	122.853549429064643
TE	1	8	123.595493601325984
TM	1	8	123.595493601325984
TM	8	5	125.598504299173641
TE	8	5	125.598504299173641
TM	6	6	128.573438005957883
TE	6	6	128.573438005957883
TE	4	7	129.775816986085573
TM	4	7	129.775816986085573
TM	2	8	130.833147073372487
TE	2	8	130.833147073372487
TM	0	9	131.180978135480871
TE	0	9	131.180978135480871
TE	9	5	131.663361131079739
TM	9	5	131.663361131079739
TE	7	6	134.805291918437234
TM	7	6	134.805291918437234
TE	5	7	136.794465715323128
TM	5	7	136.794465715323128
TE	10	5	137.658556323660918
TM	10	5	137.658556323660918
TE	3	8	137.931954401285225
TM	3	8	137.931954401285225
TE	1	9	138.592308571323599
TM	1	9	138.592308571323599
TM	8	6	140.985615303196852
TE	8	6	140.985615303196852
TM	6	7	144.117049131204027
TE	6	7	144.117049131204027
TE	4	8	144.908138158605539
TM	4	8	144.908138158605539
TM	2	9	145.856204441745916
TE	2	9	145.856204441745916
TM	0	10	146.168250415160031
TE	0	10	146.168250415160031
TM	9	6	147.097708452179376
TE	9	6	147.097708452179376
TE	7	7	150.204331285358563
TM	7	7	150.204331285358563
TM	5	8	151.915812793976869
TE	5	8	151.915812793976869
TE	3	9	152.992705396416625
TM	3	9	152.992705396416625
TE	10	6	153.146342710544047
TM	10	6	153.146342710544047
TM	1	10	153.588169272289406
TE	1	10	153.588169272289406
TM	8	7	156.104099574755026
TE	8	7	156.104099574755026
TE	6	8	159.631077916462999
TM	6	8	159.631077916462999
TE	4	9	160.007537049526803
TM	4	9	160.007537049526803
TE	2	10	160.871150523348660
TM	2	10	160.871150523348660
TM	9	7	161.892695521941278
TE	9	7	161.892695521941278
TM	7	8	165.567585563585595
TE	7	8	165.567585563585595
TM	5	9	167.008054667159172
TE	5	9	167.008054667159172
TM	10	7	167.601610004968279
TE	10	7	167.601610004968279
TE	3	10	168.042482297681801
TM	3	10	168.042482297681801
TE	8	8	171.338527533682679
TM	8	8	171.338527533682679
TM	4	10	175.081647811104062
TE	4	10	175.081647811104062
TM	6	9	175.122681379473505
TE	6	9	175.122681379473505
TM	9	8	177.001159968665036
TE	9	8	177.001159968665036
TM	7	9	180.909845923111959
TE	7	9	180.909845923111959
TM	5	10	182.071668469386140
TE	5	10	182.071668469386140
TM	10	8	182.586973746583766
TE	10	8	182.586973746583766
TE	8	9	186.533353327788603
TM	8	9	186.533353327788603
TE	6	10	190.588519578624101
TM	6	10	190.588519578624101
TE	9	9	192.056662484121318
TM	9	9	192.056662484121318
TE	7	10	196.210595579753033
TM	7	10	196.210595579753033
TE	10	9	197.520329825963529
TM	10	9	197.520329825963529
TE	8	10	201.734859005117556
TM	8	10	201.734859005117556
TM	9	10	207.182303773418340
TE	9	10	207.182303773418340
TM	10	10	212.573923803356081
TE	10	10	212.573923803356081
