Modo,Frequência FEM (GHz),Frequência Teórica (GHz),kc * r,Erro Relativo (%)
1,8.794253547629678,18.295048368997566,1.8418641559359583,51.93096312042415
2,8.794267052710088,33.49695891572293,1.8418669844333853,73.74607326343825
3,14.593827418428761,48.57473226249354,3.056524067032872,69.95592823947024
4,14.593850215891003,63.61594295694104,3.0565288417221996,77.05944526237869
5,18.318735540347102,78.64146565305273,3.8366669997739145,76.70600949737512
6,20.085577962730962,93.65882534796734,4.206713611388042,78.55452714882158
7,20.08565801209425,108.67139803079935,4.206730376887484,81.5170703827684
8,25.441808379456713,123.68092370928063,5.328519886596031,79.4294806212321
9,25.441840260162202,138.688390274242,5.328526563675373,81.65539292088286
10,25.514595116295663,153.69440023132373,5.343764305111498,83.39913810919987
11,25.514804596755564,168.69934192316825,5.343808178596425,84.87557550261464
12,30.72354412586828,183.70347691707155,6.434724034537975,83.27546944593887
13,30.72377936157449,198.70698783271592,6.4347733021890745,84.53814850867766
14,32.13243638718766,213.7100060371027,6.729801739728673,84.96446798021752
15,32.13342618888574,228.7126284455595,6.730009043311555,85.9503052335676
16,33.62687673033485,243.7149281205144,7.042796593279302,86.2023729979697
17,35.961531100404606,258.71696118437865,7.5317654611248,86.1000488967648
18,35.9618883971853,273.71877146004954,7.531840293187557,86.8617383435706
19,38.45987235252741,288.7203936652213,8.055016829380087,86.6791978688133
20,38.46128267840707,303.721855660351,8.0553122073416,87.33667598771096
21,40.987871790239616,318.7231800619749,8.584479793499806,87.13997777561404
22,40.98870070955724,333.72438542101725,8.584653401955718,87.71779872847858
23,41.173474184623394,348.7254870970478,8.623352268078792,88.19315601868666
24,41.17515643440269,363.7264979162461,8.623704597648665,88.67963795041297
