Índice,Autovalor (λ),Raiz (√λ = kc),kc * r
1,57882.099480520155,240.5869894248651,2.405869894248651
2,147143.89338362898,383.5933959072145,3.8359339590721446
3,147144.25876619105,383.59387216976114,3.8359387216976115
4,264791.95181215927,514.5793931087401,5.145793931087401
5,264793.9242056737,514.5813096155686,5.145813096155686
6,306112.380562199,553.2742363079985,5.5327423630799855
7,409551.5929408031,639.9621808675909,6.399621808675909
8,409565.7083347326,639.9732090757649,6.399732090757649
9,495836.8271354094,704.1568199878557,7.041568199878557
10,495839.2553273825,704.1585441698357,7.041585441698357
11,580818.8577198726,762.114727399932,7.62114727399932
12,580826.6784670146,762.1198583339858,7.621198583339858
13,716064.2756394584,846.2058116318148,8.462058116318147
14,716085.4334545765,846.2183131169974,8.462183131169974
15,757335.2497286308,870.2501075717433,8.702501075717434
16,778298.0535225796,882.2120229982017,8.822120229982017
17,778324.8921801902,882.2272338690243,8.822272338690244
18,966464.3681899735,983.0891964567476,9.830891964567476
19,966509.0634993537,983.1119282662345,9.831119282662344
20,1001925.6185926574,1000.9623462411847,10.009623462411847
21,1002014.5605753734,1001.0067734912553,10.010067734912553
22,1051174.5476551477,1025.268036981134,10.25268036981134
23,1051186.5788526775,1025.273904306882,10.252739043068821
24,1246906.6183954175,1116.6497295013407,11.166497295013407
25,1246980.6909817613,1116.6828963415537,11.166828963415538
26,1251807.5684651064,1118.8420659168596,11.188420659168596
27,1251996.3813953714,1118.926441458674,11.18926441458674
28,1377707.4722008377,1173.7578422318795,11.737578422318796
