Modo,Frequência FEM (GHz),Frequência Teórica (GHz),kc * r,Erro Relativo (%)
1,11.487182583169451,11.482196243430185,2.405869894248651,0.0434267071695321
2,18.31523552881188,26.356431525163043,3.8359339590721446,30.509426090835042
3,18.315258268673436,41.318507205362955,3.835938721697612,55.67299133620152
4,24.56935620794507,56.300429778223254,5.145793931087401,56.36026882081035
5,24.569447714405637,71.28988074612437,5.145813096155686,65.53585521919764
6,26.41689887814341,86.28297472268589,5.5327423630799855,69.38341664384254
7,30.555943343083996,101.27810462143186,6.399621808675909,69.82966510155451
8,30.5564699012373,116.2744866187022,6.399732090757649,73.72040007242445
9,33.62101158388115,131.27169319974234,7.041568199878557,74.38822432744615
10,33.62109390750662,146.26947147377697,7.041585441698357,77.01427812054808
11,36.388297820649456,161.2676623192017,7.621147273999319,77.43608526511345
12,36.388542804704656,176.2661606278591,7.62119858333986,79.35591115442189
13,40.403351338287784,191.26489418760963,8.462058116318149,78.87570977941378
14,40.403948240236616,206.2638117507712,8.462183131169974,80.41151867732536
15,41.55138190388899,221.26287594307914,8.702501075717434,81.22080727424954
16,42.1225212945794,236.26205886776418,8.822120229982017,82.17127138549343
17,42.12324756016344,251.26133928112822,8.822272338690244,83.23528495045029
18,46.939051534899235,266.26070072117045,9.830891964567478,82.37101780031217
19,46.94013689885281,281.26013023411815,9.831119282662344,83.31077466977624
20,47.79243157594374,296.2596174872948,10.009623462411847,83.86805735412344
21,47.79455282088075,311.2591541381875,10.010067734912553,84.64477198969007
22,48.95294282390149,326.25873337736846,10.25268036981134,84.99566821793553
23,48.95322296807015,341.2583495918413,10.252739043068821,85.65508418281335
24,53.31609724570986,356.2579981133566,11.166497295013407,85.03441395616181
